[00:00:02,681] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,688] WARN  {Croupier} Trying to add myself to self: 8634
[00:00:02,688] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,709] WARN  {Croupier} Trying to add myself to self: 3395
[00:00:02,709] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,717] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,717] WARN  {ParentMaker} PM(12) No better RTTS availabile 
[00:00:02,725] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,744] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,754] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,758] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,786] WARN  {Croupier} Trying to add myself to self: 8928
[00:00:02,786] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,795] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,826] WARN  {Croupier} Trying to add myself to self: 7454
[00:00:02,826] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,830] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,833] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,837] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,844] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,846] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,853] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,853] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,860] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,860] WARN  {ParentMaker} PM(4422) No better RTTS availabile 
[00:00:02,884] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,884] WARN  {ParentMaker} PM(2940) No better RTTS availabile 
[00:00:02,888] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,923] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,932] WARN  {Croupier} Trying to add myself to self: 1319
[00:00:02,932] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,932] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,932] WARN  {ParentMaker} PM(6340) No better RTTS availabile 
[00:00:02,940] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,949] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,952] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,964] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,964] WARN  {ParentMaker} PM(7551) No better RTTS availabile 
[00:00:02,965] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,978] WARN  {Croupier} Trying to add myself to self: 6586
[00:00:02,978] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,978] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,978] WARN  {ParentMaker} PM(2122) No better RTTS availabile 
[00:00:02,979] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
